Date,Open,High,Low,Close,Volume
9/20/2017,250.070007,250.190002,248.919998,250.059998,59574100
9/21/2017,249.880005,249.979996,249.190002,249.389999,48211400
9/22/2017,249.050003,249.630005,249.020004,249.440002,51214000
9/25/2017,249.149994,249.550003,248.080002,248.929993,57064400
9/26/2017,249.419998,249.699997,248.809998,249.080002,54082000
9/27/2017,249.880005,250.490005,248.869995,250.050003,81001400
9/28/2017,249.729996,250.440002,249.630005,250.350006,44778800
9/29/2017,250.339996,251.320007,250.130005,251.229996,85578000
10/2/2017,251.490005,252.320007,251.289993,252.320007,59023000
10/3/2017,252.320007,252.889999,252.229996,252.860001,66810200
10/4/2017,252.690002,253.440002,252.559998,253.160004,55953600
10/5/2017,253.539993,254.679993,253.199997,254.660004,63522800
10/6/2017,254.149994,254.699997,253.850006,254.369995,80646000
10/9/2017,254.630005,254.699997,253.649994,253.949997,35803100
10/10/2017,254.600006,255.050003,253.979996,254.619995,43057400
10/11/2017,254.509995,255.020004,254.320007,255.020004,47674300
10/12/2017,254.660004,255.059998,254.369995,254.639999,47065100
10/13/2017,255.139999,255.270004,254.639999,254.949997,54800400
10/16/2017,255.210007,255.509995,254.820007,255.289993,38221700
10/17/2017,255.229996,255.520004,254.979996,255.470001,31561000
10/18/2017,255.899994,255.949997,255.5,255.720001,40888300
10/19/2017,254.830002,255.830002,254.350006,255.789993,61903800
10/20/2017,256.700012,257.140015,255.770004,257.109985,89176400
10/23/2017,257.480011,257.51001,256.019989,256.109985,63915300
10/24/2017,256.600006,256.829987,256.149994,256.559998,66935900
10/25/2017,256.179993,256.309998,254,255.289993,103715300
10/26/2017,255.990005,256.299988,255.479996,255.619995,69798000
10/27/2017,256.470001,257.890015,255.630005,257.709991,85562500
10/30/2017,256.470001,257.600006,256.410004,256.75,54285700
10/31/2017,257.179993,257.440002,256.809998,257.149994,60304800
11/1/2017,258.040009,258.429993,257.070007,257.48999,54202700
